intent,subject,class,chapter,topic,lesson,difficulty,lang
science_life_processes,science,10,Life Processes,Nutrition,"Nutrition is the process by which organisms obtain and use food for energy, growth and repair.",easy,en
science_life_processes,science,10,Life Processes,Nutrition,पोषण ही प्रक्रिया आहे ज्याद्वारे सजीव अन्न मिळवतात आणि त्याचा उपयोग करतात.,easy,mr
science_life_processes,science,10,Life Processes,Respiration,Respiration is the process of releasing energy from food in cells.,easy,en
science_life_processes,science,10,Life Processes,Respiration,श्वसन ही प्रक्रिया आहे ज्यामध्ये अन्नातून ऊर्जा मिळते.,easy,mr
science_life_processes,science,10,Life Processes,Transportation,Transportation is the movement of materials inside the body.,easy,en
science_life_processes,science,10,Life Processes,Transportation,वहन म्हणजे शरीरात पदार्थांची हालचाल होणे.,easy,mr
science_life_processes,science,10,Life Processes,Excretion,Excretion is the removal of waste substances from the body.,easy,en
science_life_processes,science,10,Life Processes,Excretion,उत्सर्जन म्हणजे शरीरातील अपायकारक पदार्थ बाहेर टाकणे.,easy,mr
science_life_processes,science,10,Life Processes,Control and Coordination,Control and coordination help the body respond to changes.,easy,en
science_life_processes,science,10,Life Processes,Control and Coordination,नियंत्रण आणि समन्वय शरीराला बदलांना प्रतिसाद देण्यास मदत करतात.,easy,mr
,,,,,,,
physics_motion,science,9,Motion,Motion,Motion is the change in position of an object with time.,easy,en
physics_motion,science,9,Motion,Motion,गती म्हणजे वेळेनुसार वस्तूच्या स्थानातील बदल.,easy,mr
physics_motion,science,9,Motion,Distance and Displacement,"Distance is total path, displacement is shortest path.",easy,en
physics_motion,science,9,Motion,Distance and Displacement,"अंतर एकूण मार्ग आहे, विस्थापन सर्वात कमी अंतर आहे.",easy,mr
physics_motion,science,9,Motion,Speed,Speed is distance travelled per unit time.,easy,en
physics_motion,science,9,Motion,Speed,वेग म्हणजे प्रति वेळ अंतर.,easy,mr
physics_motion,science,9,Motion,Velocity,Velocity is speed in a specific direction.,easy,en
physics_motion,science,9,Motion,Velocity,वेग म्हणजे दिशा सहित गती.,easy,mr
physics_motion,science,9,Motion,Acceleration,Acceleration is the rate of change of velocity.,easy,en
physics_motion,science,9,Motion,Acceleration,त्वरण म्हणजे वेगातील बदलाचा दर.,easy,mr
,,,,,,,
math_linear_equations,math,10,Pair of Linear Equations in Two Variables,Linear Equation,A linear equation in two variables has the form ax + by + c = 0.,easy,en
math_linear_equations,math,10,Pair of Linear Equations in Two Variables,Linear Equation,रेखीय समीकरणाचे रूप ax + by + c = 0 असते.,easy,mr
math_linear_equations,math,10,Pair of Linear Equations in Two Variables,Graphical Method,Graphical method finds solutions using graphs.,easy,en
math_linear_equations,math,10,Pair of Linear Equations in Two Variables,Graphical Method,ग्राफ पद्धतीने उत्तर शोधले जाते.,easy,mr
math_linear_equations,math,10,Pair of Linear Equations in Two Variables,Substitution Method,Substitution replaces one variable with another expression.,easy,en
math_linear_equations,math,10,Pair of Linear Equations in Two Variables,Substitution Method,प्रतिस्थापन पद्धतीत एक चल दुसऱ्याने बदलतात.,easy,mr
math_linear_equations,math,10,Pair of Linear Equations in Two Variables,Elimination Method,Elimination removes one variable to solve equations.,easy,en
math_linear_equations,math,10,Pair of Linear Equations in Two Variables,Elimination Method,विलोपन पद्धतीत एक चल काढून टाकतात.,easy,mr
math_linear_equations,math,10,Pair of Linear Equations in Two Variables,Consistent System,A consistent system has at least one solution.,easy,en
math_linear_equations,math,10,Pair of Linear Equations in Two Variables,Consistent System,सुसंगत प्रणालीला किमान एक उत्तर असते.,easy,mr
,,,,,,,
science_food,science,6,Food: Where Does It Come From?,Food Sources,Food comes from plants and animals.,easy,en
science_food,science,6,Food: Where Does It Come From?,Food Sources,अन्न वनस्पती आणि प्राण्यांपासून मिळते.,easy,mr
science_food,science,6,Food: Where Does It Come From?,Ingredients,Ingredients are materials used to prepare food.,easy,en
science_food,science,6,Food: Where Does It Come From?,Ingredients,घटक म्हणजे अन्न तयार करण्यासाठी लागणारे पदार्थ.,easy,mr
science_food,science,6,Food: Where Does It Come From?,Plant Products,"Plants provide grains, fruits and vegetables.",easy,en
science_food,science,6,Food: Where Does It Come From?,Plant Products,"वनस्पती धान्य, फळे आणि भाज्या देतात.",easy,mr
science_food,science,6,Food: Where Does It Come From?,Animal Products,"Animals provide milk, eggs and meat.",easy,en
science_food,science,6,Food: Where Does It Come From?,Animal Products,"प्राणी दूध, अंडी आणि मांस देतात.",easy,mr
science_food,science,6,Food: Where Does It Come From?,Edible Parts,Different parts of plants are edible.,easy,en
science_food,science,6,Food: Where Does It Come From?,Edible Parts,वनस्पतींचे विविध भाग खाण्यास योग्य असतात.,easy,mr
