intent,class,chapter,question,option1,option2,option3,option4,answer,difficulty
science_life_processes,10,Life Processes,Which process gives energy?,Respiration,Digestion,Excretion,Photosynthesis,Respiration,easy
science_life_processes,10,Life Processes,What is nutrition?,Energy loss,Food intake,Movement,Breathing,Food intake,easy
science_life_processes,10,Life Processes,Transportation means?,Energy flow,Movement of materials,Digestion,Excretion,Movement of materials,easy
science_life_processes,10,Life Processes,Excretion removes?,Food,Energy,Waste,Water,Waste,easy
science_life_processes,10,Life Processes,Respiration occurs in?,Cells,Leaves,Roots,Soil,Cells,easy
,,,,,,,,,
physics_motion,9,Motion,Motion means?,Rest,Change in position,Energy,Force,Change in position,easy
physics_motion,9,Motion,Speed is?,Distance,Time,Distance/time,Force,Distance/time,easy
physics_motion,9,Motion,Velocity includes?,Speed only,Direction only,Both,None,Both,easy
physics_motion,9,Motion,Acceleration is?,Constant speed,Change in velocity,Distance,Mass,Change in velocity,easy
physics_motion,9,Motion,Unit of speed?,m/s,kg,N,m/s,m/s,easy
,,,,,,,,,easy
math_linear_equations,10,Pair of Linear Equations in Two Variables,Standard form?,ax+by+c=0,x+y=1,x²+y²=0,ax²+by=0,ax+by+c=0,easy
math_linear_equations,10,Pair of Linear Equations in Two Variables,Graph method used for?,Drawing,Solution,Multiplication,Division,Solution,easy
math_linear_equations,10,Pair of Linear Equations in Two Variables,Substitution means?,Replace variable,Remove variable,Add,Multiply,Replace variable,easy
math_linear_equations,10,Pair of Linear Equations in Two Variables,Elimination removes?,Equation,Variable,Number,Graph,Variable,easy
math_linear_equations,10,Pair of Linear Equations in Two Variables,Consistent system?,No solution,At least one,Infinite only,None,At least one,easy
,,,,,,,,,
science_food,6,Food: Where Does It Come From?,Food comes from?,Plants,Animals,Both,None,Both,easy
science_food,6,Food: Where Does It Come From?,Ingredients are?,Tools,Materials,Energy,Water,Materials,easy
science_food,6,Food: Where Does It Come From?,Milk comes from?,Plants,Animals,Soil,Air,Animals,easy
science_food,6,Food: Where Does It Come From?,Plants give?,Only fruits,Only grains,Both,None,Both,easy
science_food,6,Food: Where Does It Come From?,Edible parts?,Only leaves,Only roots,Various parts,None,Various parts,easy
